Custid,Dayswus,Age,Educ,Income,Kidhome,Teenhome,Freq,Recency,Monetary,LTV,Perdeal,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic,WebPurchase,WebVisit,Access
1074,881,33,20,60457,1,0,3,73,63,9,21,37,2,51,6,3,10,57,6,0
1075,1239,61,17,83842,0,1,26,26,1213,561,9,42,11,41,5,2,8,25,4,0
1076,801,29,20,62311,1,1,6,86,148,-8,59,68,1,27,3,1,52,54,6,1
1077,602,70,16,116259,0,0,27,35,1279,506,1,17,6,54,3,20,3,11,1,0
1078,651,46,15,72860,0,1,4,44,89,41,8,51,5,21,15,8,55,40,3,0
1079,1078,38,18,51581,1,1,3,84,56,-13,75,53,5,34,6,3,14,61,7,0
1080,883,47,18,75274,0,1,9,67,263,73,15,88,3,6,1,2,19,66,7,0
1081,1070,20,14,27321,0,0,1,16,20,3,32,27,20,25,15,12,53,41,7,0
1082,1215,61,15,78516,0,1,24,79,1086,291,7,47,0,22,21,10,15,38,5,0
1083,838,37,16,52802,1,1,11,41,338,-69,75,66,1,29,2,2,13,70,9,1
1084,952,68,17,84107,0,0,18,35,711,325,7,39,3,51,4,4,5,21,3,0
1085,983,22,16,50847,1,0,4,69,74,-4,62,12,21,37,1,28,45,66,8,1
1086,950,57,15,79899,0,1,24,43,1083,118,34,70,5,13,2,9,18,30,6,0
1087,570,74,14,100752,1,1,19,48,779,62,38,63,7,19,7,4,1,34,3,1
1088,967,33,14,59365,1,0,19,90,775,61,39,23,2,52,23,0,26,67,9,1
1089,1106,41,17,57886,1,1,5,59,118,-5,55,81,2,15,1,1,43,60,8,0
1090,916,59,19,63886,0,1,10,89,301,28,35,74,2,22,2,1,1,24,3,0
1091,905,46,18,72804,1,1,8,85,221,-41,75,66,6,21,6,1,2,54,7,0
1092,621,47,15,70162,0,0,15,95,538,198,13,64,4,21,5,6,7,37,4,1
1093,997,20,14,15463,1,0,4,75,45,-5,78,16,10,22,48,4,46,60,8,0
1094,933,51,20,90240,0,1,16,8,600,164,4,91,0,8,0,1,1,44,5,0
1095,723,28,17,35844,1,0,2,12,40,-1,54,61,2,34,1,2,28,65,8,1
1096,728,47,19,62290,0,1,10,38,302,83,10,86,0,12,1,1,11,47,6,0
1097,607,29,20,55137,1,1,4,75,56,-18,82,71,3,21,1,4,23,44,4,0
1098,574,40,18,58088,1,1,3,70,42,-9,79,59,5,26,9,1,23,67,6,0
1099,946,28,19,40645,1,0,3,1,48,-3,61,66,1,26,1,6,34,64,7,0
1100,793,74,16,97204,0,0,38,74,1976,608,2,54,7,38,0,1,2,18,4,2
1101,670,45,20,47267,0,1,2,98,34,1,47,84,1,12,2,1,5,46,5,0
1102,937,78,15,98143,0,0,19,29,780,296,4,24,12,42,18,4,4,23,2,0
1103,973,75,14,101642,0,0,39,54,2039,902,1,31,9,50,0,10,4,14,4,2
1104,580,60,15,94496,0,1,22,71,950,275,14,39,1,35,13,12,3,28,3,0
1105,793,67,18,103498,1,0,25,53,1155,318,10,85,2,10,2,1,17,48,5,2
1106,1126,24,18,21958,0,1,3,30,26,0,53,21,3,29,17,30,15,58,7,0
1107,1206,21,14,24589,1,0,2,98,29,-2,64,18,21,30,16,15,34,72,9,0
1108,767,23,17,10000,0,0,3,12,34,1,43,10,32,37,2,20,35,64,7,0
1109,1165,20,14,33111,0,1,7,19,181,-10,58,62,8,17,7,7,11,37,7,0
1110,842,27,17,50468,1,0,3,43,41,-2,57,24,1,43,22,10,62,63,6,0
1111,675,33,18,63453,1,0,4,78,54,3,44,40,8,28,10,13,9,48,5,0
1112,636,54,17,69431,0,1,4,77,74,8,34,81,1,17,0,1,65,54,4,1
1113,1032,77,16,127392,0,0,45,92,2412,1239,0,20,9,56,13,2,19,12,2,2
1114,599,31,16,56646,1,0,1,373,20,-1,54,19,16,47,2,16,4,59,6,0
1115,647,63,16,108597,0,1,28,21,1340,491,5,57,7,30,0,6,1,28,3,2
1116,567,25,16,48600,1,1,4,74,47,-10,88,45,10,37,6,3,26,61,5,0
1117,940,52,16,66027,1,1,1,310,19,0,50,80,0,12,5,3,39,50,5,0
1118,885,58,19,79072,0,1,23,81,1020,304,12,41,6,42,6,5,1,31,5,0
1119,911,76,16,117796,0,0,38,32,1983,620,1,53,9,28,3,7,6,10,1,0
1120,649,27,18,45267,1,0,2,11,42,4,35,60,1,33,3,4,6,63,7,0
1121,1212,32,17,48368,1,0,16,93,597,24,45,58,5,28,7,3,14,65,9,0
1122,1089,69,19,105286,0,0,38,15,1983,765,1,36,9,45,8,2,16,15,3,0
1123,1185,55,16,74216,0,1,27,1,1284,198,27,54,0,32,6,7,1,27,6,0
1124,1031,50,17,82702,0,1,28,28,1346,319,10,82,5,12,1,1,6,47,8,0
1125,813,60,19,78683,0,0,19,31,770,245,3,67,2,25,1,5,23,18,2,1
1126,963,61,17,96657,0,1,24,90,1079,256,10,63,3,18,6,9,4,22,3,0
1127,709,66,15,97206,0,0,27,52,1272,466,2,32,9,35,11,13,16,12,1,0
1128,1156,71,15,96314,0,0,23,8,1015,389,3,15,13,34,25,13,17,19,2,0
1129,994,45,15,69083,1,1,3,37,64,-9,72,81,4,11,0,3,4,57,7,0
1130,1207,78,15,100096,0,0,34,52,1722,492,3,50,7,24,9,9,10,11,2,0
1131,964,37,18,51493,0,0,8,56,224,73,8,50,8,20,12,10,40,26,3,0
1132,894,52,16,57696,1,1,2,30,35,-8,73,84,1,13,1,1,6,68,7,0
1133,812,27,15,40112,1,0,1,300,18,0,52,32,13,34,7,14,46,57,7,0
1134,1141,77,16,117551,0,0,42,91,2226,1164,2,37,14,36,11,2,5,15,3,2
1135,685,72,18,105123,0,0,31,84,1531,459,2,37,2,49,7,5,5,17,2,1
1136,897,51,18,78676,1,1,4,39,91,-9,64,93,0,6,0,1,2,53,5,0
1137,1072,61,15,100096,0,1,25,83,1145,426,6,51,3,27,0,19,11,20,3,0
1138,951,29,17,55637,1,0,2,92,42,-4,65,32,15,36,5,12,32,88,10,0
1139,1228,56,18,73488,0,1,23,64,1026,348,19,60,7,23,2,8,9,26,5,0
1140,988,65,15,104547,0,0,34,16,1728,623,1,38,1,31,5,25,1,19,3,2
1141,611,70,18,120329,0,0,32,27,1601,616,1,74,2,22,1,1,1,10,1,2
1142,878,22,16,52819,0,0,6,23,148,19,21,24,8,41,20,6,44,51,6,0
1143,628,44,20,65224,1,1,3,21,63,-15,71,83,1,15,1,0,2,42,4,0
1144,1038,54,15,88404,0,1,26,56,1212,411,14,90,1,8,1,1,5,51,8,1
1145,710,50,19,65582,0,1,3,92,65,16,26,86,0,12,1,1,21,66,7,0
1146,554,61,19,95316,0,1,18,49,715,387,5,40,3,37,20,0,14,44,4,0
1147,935,54,18,67192,0,1,7,53,180,20,36,90,1,8,1,1,25,36,4,1
1148,1171,50,19,69016,0,1,15,48,542,-35,58,88,1,10,1,0,2,60,8,0
1149,914,32,18,55832,1,0,15,74,538,44,33,39,1,56,1,3,28,47,8,0
1150,837,30,16,44929,1,0,1,134,19,2,32,24,18,42,1,16,58,67,7,1
1151,1043,47,18,74329,0,0,20,55,825,272,6,49,7,36,0,7,8,56,8,0
1152,773,37,17,60350,1,1,5,67,89,-11,68,47,7,29,3,14,3,46,5,0
1153,868,66,16,94214,0,0,22,68,962,393,4,36,6,27,10,21,3,12,1,0
1154,928,73,16,108936,0,0,34,87,1733,941,1,28,5,47,9,11,8,26,4,0
1155,1029,31,15,40224,1,0,9,51,254,-34,74,61,8,26,0,5,11,63,9,0
1156,774,26,14,29821,1,1,5,29,54,-14,91,33,14,30,13,11,78,78,8,1
1157,728,67,15,86417,1,0,17,81,653,363,3,45,0,19,21,15,8,41,5,0
1158,721,44,20,60716,0,1,11,95,339,64,31,86,1,12,1,1,7,45,6,0
1159,854,41,18,70965,1,1,5,11,120,-22,72,70,3,21,3,3,21,46,5,0
1160,685,67,18,100270,0,0,15,52,537,240,2,63,2,32,2,0,1,12,1,0
1161,1134,49,17,63887,0,1,15,72,538,55,33,94,0,5,0,0,14,47,6,1
1162,638,29,16,40125,1,0,4,79,40,-5,75,29,8,42,7,15,4,66,7,0
1163,802,73,14,101972,0,0,29,84,1414,406,2,24,27,36,11,2,4,20,3,0
1164,896,42,15,71996,0,0,19,52,765,305,4,39,25,13,16,7,22,52,8,0
1165,812,25,17,43284,1,0,4,39,93,12,27,78,1,16,1,3,11,54,7,0
1166,1134,64,19,92753,0,1,29,8,1411,764,7,79,1,19,1,1,2,44,7,0
1167,1093,42,18,61649,1,1,3,89,64,-18,86,82,2,14,1,0,20,54,7,0
1168,922,58,15,75961,0,1,9,3,261,46,23,43,15,22,14,7,8,35,4,0
1169,809,35,17,65043,1,1,2,48,42,-4,59,56,2,38,2,2,10,51,6,0
1170,862,64,19,82047,0,1,20,5,830,228,16,60,4,27,7,2,7,33,4,0
1171,795,55,16,82085,1,0,18,15,718,263,11,59,9,15,11,6,30,38,3,0
1172,675,73,17,107168,0,0,27,88,1285,462,2,39,7,44,6,4,2,11,1,0
1173,555,18,12,33397,1,1,3,99,30,-8,88,10,16,11,18,45,55,41,4,0
1174,611,69,19,86238,0,0,19,47,764,213,3,34,3,50,6,6,7,25,3,0
1175,986,41,18,44301,1,1,4,44,53,-12,83,47,3,44,3,3,5,48,6,0
1176,783,68,16,94717,0,0,26,66,1212,422,1,60,7,26,2,5,12,12,1,1
1177,1217,45,18,69954,0,1,14,12,494,102,32,87,1,10,1,1,4,61,8,0
1178,879,54,16,97623,0,1,16,90,593,166,12,80,2,11,5,2,15,55,5,0
1179,621,50,19,54582,0,1,9,77,256,16,42,91,1,8,0,0,7,52,7,1
1180,895,74,20,102529,0,0,23,92,1022,278,5,69,1,28,1,1,1,18,2,0
1181,636,46,18,67967,0,0,9,87,264,117,8,74,1,13,7,5,16,37,4,1
1182,736,18,12,31351,1,0,2,11,34,0,52,7,11,13,32,37,48,73,8,1
1183,814,60,20,78591,0,1,17,48,658,221,17,62,3,30,2,3,3,20,3,0
1184,612,29,17,37250,1,0,3,31,26,2,38,53,3,31,5,7,20,49,3,0
1185,875,55,14,76329,0,1,8,50,217,31,30,46,2,15,13,25,3,24,2,0
1186,612,77,15,120491,0,0,34,2,1722,551,1,17,3,57,10,13,1,12,1,0
1187,1223,31,17,41672,1,0,3,15,52,-7,77,29,4,55,5,7,37,68,8,0
1188,1125,39,19,70908,1,0,19,33,768,154,23,83,0,14,2,1,18,41,6,0
1189,623,37,17,51478,0,1,4,89,47,11,27,22,23,10,15,30,26,40,3,0
1190,1230,52,19,80250,0,1,21,21,888,216,20,90,0,9,0,0,4,57,8,0
1191,1051,45,14,55691,0,1,14,31,488,48,40,62,6,27,5,0,55,59,8,0
1192,938,19,13,29745,1,0,4,40,48,-2,60,8,21,36,7,28,65,55,7,0
1193,800,62,16,87179,0,1,14,62,496,256,7,41,15,29,12,2,13,29,4,0
1194,947,65,18,101969,0,0,29,72,1404,486,2,27,17,33,18,6,9,20,2,0
1195,679,51,19,74695,1,1,10,23,306,-56,67,84,0,14,0,1,25,50,6,0
1196,1131,40,18,81488,1,0,20,26,833,184,19,77,1,22,0,0,4,59,8,0
1197,623,50,18,73665,0,1,5,81,119,26,26,82,1,16,1,0,10,46,3,0
1198,561,27,18,51209,1,0,4,59,93,-3,54,60,2,34,2,3,62,42,6,1
1199,659,65,16,95236,1,0,16,26,590,175,14,36,21,30,2,11,4,47,4,0
1200,1086,75,19,124801,0,0,47,47,2526,1513,1,57,5,29,7,2,0,7,1,1
1201,818,64,15,81779,0,1,5,24,121,28,18,56,9,20,8,7,8,36,3,0
1202,824,44,17,50648,1,1,4,46,90,-25,76,68,3,27,0,2,19,72,9,0
1203,1184,25,15,48015,1,0,3,18,63,0,50,30,5,48,11,6,6,71,9,0
1204,953,42,16,61042,1,1,11,11,347,-45,72,68,0,28,3,1,8,61,8,0
1205,873,40,17,61365,0,1,6,76,149,12,37,67,1,25,4,3,2,49,7,0
1206,703,42,15,40840,1,1,3,67,44,-8,74,63,4,28,3,1,23,57,7,0
1207,942,28,14,36825,1,0,3,84,36,-6,82,12,12,38,7,31,26,63,8,0
1208,609,60,15,99504,0,1,11,98,338,72,21,21,14,17,15,33,1,44,4,0
1209,1076,53,20,73278,0,1,26,55,1209,416,13,95,0,5,0,0,2,36,7,1
1210,617,70,18,94293,0,0,23,48,1024,315,2,72,2,20,3,3,2,10,1,1
1211,946,26,16,28901,1,0,3,48,31,-5,77,22,21,27,15,15,36,68,7,0
1212,860,41,17,68560,1,1,4,30,92,-17,65,78,5,15,2,0,13,66,7,0
1213,883,54,17,70465,0,1,15,67,549,8,48,89,0,10,1,0,24,45,7,0
1214,740,78,15,129947,0,0,35,52,1795,789,1,38,6,25,5,25,5,14,1,2
1215,1010,22,16,36103,1,0,5,2,118,-5,59,12,31,33,14,10,6,55,8,0
1216,1237,24,18,25100,1,0,5,96,117,-1,53,22,16,39,3,20,3,50,9,0
1217,839,26,16,57319,1,0,6,10,154,-3,53,24,6,50,12,8,9,59,7,0
1218,585,37,16,73877,0,0,17,51,661,241,3,59,7,21,7,6,23,29,3,1
1219,729,44,16,63622,0,0,15,9,536,251,6,62,6,19,7,6,7,54,7,1
1220,675,59,15,92992,0,1,20,55,834,229,15,54,13,28,2,3,4,23,2,1
1221,895,73,17,98825,0,0,25,88,1141,499,2,25,7,54,9,5,13,10,1,0
1222,900,18,12,17957,1,1,2,24,16,-7,91,8,31,19,30,12,47,35,4,0
1223,763,32,18,71679,1,0,3,99,64,13,13,37,19,32,6,6,20,71,7,0
1224,832,31,18,50382,1,0,4,50,90,7,33,45,2,45,4,4,21,75,8,0
1225,1170,61,20,91198,0,1,28,24,1345,508,6,84,1,13,1,1,2,28,6,1
1226,987,75,16,111889,0,0,38,12,1980,745,2,26,11,37,16,10,4,15,3,0
1227,968,55,17,79717,0,1,19,1,779,184,18,51,8,26,12,3,18,28,4,0
1228,983,41,19,62409,0,0,20,87,831,275,6,79,1,19,1,1,5,50,7,1
1229,1199,38,16,57092,1,1,10,19,298,-59,72,40,10,39,6,5,20,60,9,0
1230,576,27,18,43545,1,0,5,27,119,7,38,37,10,41,3,9,9,38,5,0
1231,614,64,20,99829,0,0,26,30,1210,561,2,76,0,22,1,1,11,36,5,1
1232,718,37,19,39912,1,1,2,76,17,-4,90,68,2,28,0,2,23,74,7,0
1233,1200,76,17,109776,0,0,38,89,1977,785,2,42,3,49,2,4,1,13,2,1
1234,1094,34,16,35980,0,0,5,8,118,41,9,33,7,25,33,2,14,52,7,0
1235,597,50,15,84748,0,1,13,14,433,104,20,82,0,16,1,1,7,48,5,1
1236,870,48,20,67136,0,1,13,45,442,71,23,92,0,7,0,1,4,53,7,1
1237,1212,64,19,96941,0,1,39,71,2042,1033,3,81,1,17,1,0,6,33,7,3
1238,1178,47,16,74970,0,1,13,79,446,87,19,81,1,14,2,2,34,49,7,0
1239,657,57,16,77583,0,1,14,3,483,99,26,50,9,27,10,4,25,28,3,0
1240,1223,58,15,78371,0,1,29,30,1414,206,31,64,2,28,3,3,9,42,8,0
1241,628,61,15,88600,0,0,20,36,826,474,4,37,15,31,11,6,13,30,4,0
1242,561,64,16,106486,0,1,18,12,714,202,4,10,14,39,20,17,52,26,1,0
1243,918,75,15,90885,0,0,26,54,1220,462,3,47,11,31,10,1,1,15,2,0
1244,603,63,15,88011,0,0,16,44,599,181,5,29,23,28,12,9,18,36,3,0
1245,752,20,14,22670,1,0,4,37,33,-4,71,9,16,38,12,25,23,56,5,0
1246,1080,54,17,97510,0,1,28,51,1336,494,8,64,7,23,2,4,23,41,5,0
1247,708,52,19,69233,0,1,5,91,118,15,33,84,0,15,0,0,9,51,6,0
1248,658,49,16,85496,0,1,22,32,960,304,18,42,11,35,11,1,38,51,6,0
1249,708,67,14,95093,0,0,26,82,1213,706,1,23,33,17,21,6,9,14,1,0
1250,1168,22,16,27201,1,0,2,84,41,-5,75,15,1,31,15,38,48,66,9,0
1251,841,18,12,21075,1,0,3,9,29,-3,74,7,41,17,5,30,84,69,8,0
1252,1026,57,19,73330,0,1,13,3,440,53,35,35,5,46,7,7,2,34,4,0
1253,586,68,18,110106,0,0,28,25,1344,576,2,30,4,55,5,6,4,20,2,0
1254,583,74,19,117504,0,0,34,19,1731,541,1,73,2,23,1,1,8,47,5,2
1255,829,73,18,113663,1,1,26,48,1205,420,6,79,2,12,0,7,10,44,5,1
1256,735,60,19,80154,0,1,15,72,544,234,13,69,5,22,3,1,17,44,7,0
1257,888,63,19,82472,1,1,12,24,396,19,42,82,0,13,2,3,0,35,4,0
1258,1084,61,17,96620,0,1,29,88,1405,758,4,61,7,20,7,5,1,17,2,0
1259,1066,61,15,88205,0,1,26,67,1204,394,10,56,3,31,3,7,1,38,6,0
1260,926,53,19,75049,0,0,26,53,1205,601,8,71,2,22,2,2,3,53,8,0
1261,682,18,12,19228,0,0,1,81,10,1,36,8,9,26,22,34,80,59,5,1
1262,781,35,16,71283,0,0,14,91,484,219,7,50,2,24,13,11,15,35,4,0
1263,783,59,15,100800,0,1,21,45,885,407,11,26,17,37,8,13,20,25,3,0
1264,883,74,18,103687,0,1,26,40,1206,602,9,84,1,14,1,1,10,36,5,1
1265,949,36,20,61476,1,1,1,371,14,-2,60,79,6,9,4,3,9,56,6,0
1266,637,77,14,104585,0,0,31,34,1532,491,0,36,16,30,13,6,1,29,3,1
1267,1051,22,16,29911,1,0,3,25,44,-2,61,11,28,25,5,31,35,70,8,0
1268,993,34,17,38569,1,0,4,19,68,-6,66,43,5,48,3,1,23,60,8,0
1269,881,75,18,136690,0,0,43,42,2288,786,0,34,7,46,9,4,9,13,1,1
1270,985,57,15,83040,0,1,17,75,651,212,19,64,3,28,3,3,1,43,6,0
1271,584,39,20,41124,1,1,2,43,27,-11,85,90,0,9,1,0,34,51,5,1
1272,895,72,14,95428,1,1,24,57,1091,-80,58,61,5,27,4,3,4,31,5,0
1273,675,33,15,37491,1,0,3,42,40,-2,57,30,12,33,22,2,37,59,7,0
1274,1217,58,15,93840,0,1,27,81,1268,395,13,61,4,23,6,6,6,26,4,0
1275,756,76,20,114125,0,0,38,21,1981,767,1,35,8,41,5,12,1,12,1,1
1276,1235,38,20,46960,1,0,7,23,181,7,46,86,0,13,0,0,23,57,7,0
1277,1188,72,18,109238,1,0,36,60,1858,993,5,80,3,15,2,0,10,40,6,2
1278,1171,25,18,49953,1,0,11,68,347,78,20,54,5,29,4,8,37,79,9,1
1279,967,18,12,22963,1,0,5,90,59,-9,80,2,23,34,18,22,14,57,6,0
1280,952,48,18,64122,0,1,9,83,257,39,30,69,0,25,3,3,18,62,7,0
1281,1102,62,19,72745,0,1,19,25,773,205,22,70,3,22,3,2,38,25,4,0
1282,723,52,15,66286,0,1,9,45,260,-11,56,71,1,21,4,3,6,54,7,0
1283,555,53,17,80710,0,1,7,13,187,40,18,91,0,8,0,1,18,65,7,0
1284,986,34,18,44785,0,0,3,65,64,21,15,21,2,28,30,19,15,21,2,0
1285,778,38,19,65613,1,1,9,50,260,-25,66,83,1,14,1,1,2,54,7,0
1286,690,21,15,30511,0,0,3,30,46,7,12,4,27,18,47,3,82,51,5,0
1287,923,58,15,94007,0,1,28,45,1337,504,8,71,2,16,6,5,10,39,6,0
1288,682,65,15,84893,0,0,16,3,598,329,1,27,13,43,8,9,11,14,1,0
1289,578,75,16,108668,0,0,27,46,1274,653,1,32,9,41,14,4,10,22,2,0
1290,713,58,15,81245,0,1,19,41,775,351,8,29,20,20,19,12,7,31,4,0
1291,1040,47,17,62611,0,1,6,65,151,21,32,69,3,26,0,1,11,39,4,0
1292,1239,74,17,104915,0,0,36,13,1859,814,1,44,10,37,6,3,13,10,2,1
1293,1207,47,14,81057,0,1,17,87,654,186,23,73,3,19,2,3,57,61,8,0
1294,726,40,20,78444,1,0,12,84,393,148,16,81,0,17,1,1,7,49,5,0
1295,1134,23,17,20110,1,0,3,22,47,-8,83,11,9,55,12,13,8,66,9,0
1296,963,44,16,83295,1,1,15,93,543,87,35,44,1,46,3,6,26,64,7,0
1297,1119,44,17,50933,1,1,1,419,18,-6,89,69,2,26,2,1,6,57,7,0
1298,565,41,15,67726,0,1,9,88,254,97,17,27,27,21,19,5,8,26,2,0
1299,1054,26,19,22569,1,1,5,50,50,-12,94,41,5,47,5,3,8,65,8,0
1300,758,65,15,87490,0,0,17,27,657,245,4,14,29,40,6,11,13,17,2,0
1301,1154,31,18,41980,0,0,7,95,183,70,15,40,9,33,0,17,57,34,4,0
1302,987,56,19,73751,0,0,19,78,776,305,4,64,5,25,5,1,37,28,5,0
1303,819,60,16,83379,0,1,11,13,347,101,12,47,14,26,0,13,15,27,3,0
1304,570,40,14,60247,1,1,3,56,44,-16,83,40,6,37,14,3,77,58,5,0
1305,907,63,17,80906,0,1,23,59,1019,340,8,80,2,16,0,2,1,28,5,1
1306,1029,72,16,104327,0,0,30,89,1469,424,2,21,21,30,28,0,7,15,2,0
1307,948,61,16,88379,0,1,19,10,773,158,17,58,2,25,14,1,9,40,6,1
